Address,AreaName,Price ($),lat,lng,AreaCode
"111 OSPREY Crescent Callander, ON",North Bay,449900,46.232975,-79.38131,415
"676 Tillicum Bay Rd Callander, ON",North Bay,864900,46.190727,-79.478897,415
"154 KILBY Lane Callander, ON",Meaford,309000,46.232857,-79.380531,414
"0 HILLSIDING Road Callander, ON",Riverside Park,330000,46.144997,-79.35936,382
"59 WOOKEY Road Callander, ON",Chalk River,484900,46.192989,-79.366898,410
"300 Greenwood Rd Callander, ON",Chalk River,479999,46.208141,-79.366982,410
"54 SUNSET COVE Road Callander, ON",Bluewater,269900,46.162106,-79.511848,417
"642 PINECREEK Road South Callander, ON",Whitby,274900,46.18198,-79.38942,407
"280 LANSDOWNE Street East Callander, ON",Chalk River,209000,46.223652,-79.361664,410
"1848 Blueberry Trail Haliburton, ON",Collingwood,899000,45.079929,-78.4049,465
"3191 Kashagawigamog Lake Rd Haliburton, ON",Haliburton,1490000,45.016968,-78.553093,511
"LOT 59 West Shore Rd Haliburton, ON",Alpine,269900,45.184662,-78.627411,617
"LOT 8 Misty Knoll Trail Haliburton, ON",Sandford,349000,45.046715,-78.508492,510
"5219 County Road 21 Haliburton, ON",Sandford,799000,45.047817,-78.528877,510
"304 Industrial Park Rd Haliburton, ON",Tory Hill,299900,45.052563,-78.538498,507
"1056 Argillite Rd Haliburton, ON",Sandford,690000,45.046715,-78.508492,510
"119 ST MICHAEL&#39;S Street Delhi, ON",Haliburton,393000,42.840225,-80.48243,511
"1362 Hutchings Rd Haliburton, ON",Goodwood,419000,45.010242,-78.488594,509
"1029 Honey Tree Lane Haliburton, ON",Sandford,328800,45.046715,-78.508492,510
"Trapline Trail Haliburton, ON",Rideau Heights,159000,45.150417,-78.626282,644
"3734 Harburn Rd Haliburton, ON",Fort Erie,1395000,45.073776,-78.475815,500
"5247 County Road 21 Haliburton, ON",Sandford,374900,45.04689,-78.527206,510
"1045 Propeller Dr Haliburton, ON",Sandford,399900,45.046715,-78.508492,510
"1117 NILA RD E Haliburton, ON",Pioneer Tower West,422900,45.117634,-78.592476,548
"536 Victoria St Tweed, ON",Stirling,119900,44.482437,-77.317535,480
"133 Bogart Rd Tweed, ON",Smiths Falls,259900,44.499405,-77.250893,495
"120 Pringle St Tweed, ON",Tweed,219900,44.4729,-77.310921,477
"113 River St Tweed, ON",Tweed,229900,44.475063,-77.308434,477
"161B St Edmunds Rd Tweed, ON",Annan,329900,44.454044,-77.286049,481
"B950 Concession 5 Rd Brock, ON",Brockley,225000,44.260147,-79.019363,641
"16 Albert St Hastings, ON",Millbrook,229900,44.310394,-77.959068,703
"56 Bridge St Hastings, ON",Cityview - Skyline - Fisher Heights,369900,44.305183,-77.954704,681
"861 Centre Line Selwyn, ON",Ridgetown,700000,44.377041,-78.324303,387
"41 Store St Tweed, ON",Penetanguishene,124900,44.543896,-77.327057,489
"31 Black River Rd Tweed, ON",Kimberley,169900,44.540081,-77.356064,488
"498 Metcalf St Tweed, ON",Owen Sound,159900,44.481083,-77.317322,482
"31 CEDAR STREET Maitland, ON",Lambton Shores,222500,44.649788,-75.618874,529
